aX,aY,aZ,gX,gY,gZ
-0.061,-0.216,0.664,-126.953,-441.101,-47.363
-0.148,-0.165,0.939,-182.190,-386.536,-58.350
-0.161,0.015,1.430,-240.112,-326.843,-66.528
-0.074,0.352,1.912,-263.489,-264.404,-80.811
-0.036,0.512,2.112,-226.929,-201.965,-98.206
-0.034,0.386,2.090,-160.400,-147.888,-109.619
-0.076,0.203,1.922,-113.281,-117.004,-109.558
-0.105,-0.021,1.698,-88.318,-104.614,-96.924
-0.122,-0.251,1.468,-76.050,-103.088,-77.820
-0.152,-0.414,1.300,-89.478,-107.849,-51.331
-0.157,-0.448,1.313,-120.117,-109.558,-23.437
-0.109,-0.444,1.450,-141.724,-104.614,-4.028
-0.093,-0.297,1.603,-149.414,-97.534,2.686
-0.062,-0.045,1.801,-145.813,-94.910,3.967
-0.012,0.124,1.911,-118.408,-95.337,2.991
-0.019,0.196,1.871,-74.402,-98.389,1.526
-0.017,0.126,1.757,-35.034,-101.440,3.174
-0.033,-0.005,1.577,-8.118,-102.905,6.531
-0.051,-0.095,1.371,9.460,-98.999,6.470
-0.021,-0.196,1.217,13.123,-87.646,8.362
0.007,-0.265,1.114,5.615,-75.012,12.268
0.031,-0.298,1.058,-5.493,-65.247,15.015
0.036,-0.285,1.008,-16.235,-58.960,16.663
0.045,-0.259,0.965,-25.269,-56.335,19.592
0.075,-0.216,0.940,-30.701,-58.533,23.743
0.109,-0.143,0.947,-31.006,-64.880,27.832
0.147,-0.053,0.985,-23.254,-72.693,29.846
0.176,0.023,0.967,-6.592,-79.346,27.832
0.162,0.011,0.895,13.062,-84.045,22.278
0.135,-0.111,0.986,19.287,-85.388,15.686
0.251,-0.225,1.655,-16.174,-77.271,6.592
0.240,-0.061,2.085,-64.758,-55.603,-13.672
-0.006,0.165,1.903,-66.772,-11.230,-38.757
-0.040,0.149,1.652,-44.800,46.509,-43.823
0.022,0.068,1.325,-14.832,78.003,-32.837
0.001,-0.019,0.947,16.357,74.829,-16.968
-0.001,-0.124,0.683,36.987,54.016,2.319
0.071,-0.256,0.551,47.729,26.978,21.484
0.118,-0.400,0.522,46.387,-4.211,32.349
0.152,-0.438,0.588,24.658,-33.142,33.203
0.181,-0.394,0.758,-7.019,-49.194,28.809
0.191,-0.311,0.968,-31.494,-48.035,22.583
0.194,-0.213,1.124,-44.373,-34.363,14.343
0.188,-0.108,1.219,-49.866,-15.747,7.324
0.180,-0.024,1.272,-48.828,1.465,3.418
0.169,0.031,1.245,-36.499,15.381,1.221
0.170,0.043,1.158,-16.113,25.146,0.366
0.188,0.025,1.071,0.427,26.917,1.221
0.211,-0.008,0.982,9.277,19.226,3.052
0.224,-0.045,0.933,9.888,7.080,3.906
0.229,-0.094,0.942,9.766,-1.343,2.808
0.226,-0.141,0.978,10.376,-3.662,0.000
0.206,-0.152,1.001,8.362,-3.845,-2.869
0.179,-0.142,1.010,4.761,-3.174,-4.395
0.160,-0.131,1.010,1.282,-1.709,-3.845
0.151,-0.127,1.006,-1.221,0.549,-2.625
0.153,-0.124,0.999,-2.502,2.136,-0.671
0.160,-0.115,0.995,-3.235,2.502,0.977
0.166,-0.097,1.000,-4.089,2.258,1.465
0.171,-0.084,0.993,-3.723,2.136,1.404
0.184,-0.073,1.008,-4.944,2.136,1.526
0.204,-0.068,1.034,-6.958,2.258,1.221
0.207,-0.066,1.037,-5.249,2.625,0.122
0.201,-0.070,1.023,-2.136,3.906,-0.977
0.195,-0.078,1.010,-0.671,5.188,-1.709
0.187,-0.089,1.001,-0.366,6.042,-1.709
0.184,-0.099,0.998,-0.061,5.981,-1.587
0.182,-0.109,1.002,-0.244,5.310,-1.038
0.180,-0.113,1.011,0.183,3.723,-0.610
0.177,-0.111,1.015,1.892,1.709,-0.366
0.176,-0.106,1.014,3.906,-0.305,0.366
0.181,-0.103,1.015,5.066,-1.038,1.526
0.185,-0.095,1.003,5.859,-0.427,2.441
0.189,-0.084,0.983,5.493,1.343,2.930
0.198,-0.072,0.988,2.441,3.540,2.991
0.205,-0.067,0.999,-0.366,4.272,1.831
0.199,-0.073,1.010,-1.587,3.845,0.000
0.193,-0.085,1.023,-1.160,2.563,-1.587
0.182,-0.096,1.024,0.916,1.343,-2.380
0.173,-0.111,1.015,4.150,0.488,-1.953
0.177,-0.124,1.016,6.592,0.122,-0.854
0.183,-0.122,1.008,7.751,-0.122,-0.061
0.183,-0.134,1.001,7.385,0.122,1.282
0.196,-0.129,0.998,5.859,0.305,1.160
0.205,-0.118,0.990,3.601,0.488,0.488
0.213,-0.111,0.989,1.526,1.160,-0.061
0.213,-0.103,0.987,0.671,1.343,-1.038
0.207,-0.097,0.991,-0.366,1.770,-1.526

0.707,-0.365,-0.626,-49.927,-21.423,5.676
0.801,-0.415,-0.632,-43.640,-18.738,6.653
0.747,-0.395,-0.659,-36.560,-19.531,6.165
0.716,-0.323,-0.716,-34.729,-25.818,0.671
0.699,-0.319,-0.796,-28.748,-26.001,-1.953
0.672,-0.301,-0.905,-25.513,-26.184,-4.333
0.630,-0.306,-1.078,-28.137,-26.855,-8.240
0.609,-0.278,-1.178,-39.612,-24.780,-11.963
0.590,-0.239,-1.247,-52.795,-22.827,-18.860
0.556,-0.233,-1.337,-60.913,-26.794,-31.799
0.489,-0.272,-1.437,-63.171,-40.710,-44.922
0.412,-0.348,-1.565,-62.439,-66.589,-52.795
0.336,-0.421,-1.692,-61.584,-99.121,-54.321
0.251,-0.446,-1.758,-61.646,-132.568,-50.354
0.184,-0.441,-1.730,-63.538,-166.687,-42.175
0.159,-0.428,-1.624,-66.467,-202.209,-31.128
0.157,-0.379,-1.381,-73.975,-242.432,-17.456
0.194,-0.217,-1.221,-77.209,-285.645,-4.333
0.228,-0.106,-1.038,-59.753,-320.618,8.301
0.283,-0.033,-0.823,-55.176,-362.610,18.616
0.295,0.029,-0.590,-54.688,-410.767,21.118
0.255,0.075,-0.397,-58.167,-459.229,18.494
0.154,0.048,-0.206,-68.604,-494.873,17.822
-0.010,-0.010,0.017,-87.585,-510.864,20.264
-0.011,-0.073,0.232,-111.694,-507.385,19.348
-0.054,-0.074,0.502,-149.292,-492.920,21.362
-0.103,0.025,0.853,-191.589,-456.177,18.616
-0.047,0.209,1.317,-236.938,-396.667,6.897
0.095,0.400,1.743,-264.404,-322.815,-13.428
0.239,0.408,1.938,-250.854,-245.850,-45.288
0.254,0.276,1.879,-212.097,-186.218,-76.538
0.200,0.085,1.698,-169.678,-156.494,-92.957
0.102,-0.094,1.483,-142.090,-159.119,-88.745
0.020,-0.227,1.309,-135.620,-180.664,-65.796
0.013,-0.317,1.224,-141.724,-203.125,-32.043
0.025,-0.337,1.215,-145.325,-217.834,1.831
-0.029,-0.165,1.388,-139.587,-222.900,26.917
