aX,aY,aZ,gX,gY,gZ
-0.090,-0.060,1.448,90.210,141.052,-9.094
-0.046,-0.106,1.364,98.999,148.376,-5.798
-0.012,-0.207,1.293,102.051,152.283,-2.625
-0.059,-0.263,1.174,99.854,151.917,-2.747
-0.032,-0.276,0.992,92.896,157.593,-2.502
0.076,-0.243,1.154,92.102,184.387,2.319
0.097,-0.263,1.108,86.487,181.763,12.085
0.198,-0.257,1.126,84.229,171.265,12.024
0.275,-0.212,1.107,84.656,155.090,3.845
0.323,-0.187,1.098,86.792,143.127,-4.761
0.339,-0.213,1.043,86.609,138.306,-11.658
0.337,-0.227,1.039,82.031,139.221,-15.869
0.322,-0.259,0.994,75.623,141.235,-18.982
0.358,-0.288,0.943,71.228,149.048,-24.414
0.380,-0.327,0.878,67.627,158.997,-29.053
0.374,-0.337,0.831,59.448,163.940,-30.579
0.370,-0.300,0.800,50.964,166.077,-30.396
0.374,-0.270,0.769,49.194,167.480,-29.297
0.392,-0.227,0.789,51.270,166.626,-25.879
0.443,-0.200,0.804,56.335,163.574,-21.912
0.466,-0.218,0.759,68.359,157.227,-18.188
0.463,-0.235,0.681,80.811,148.743,-13.428
0.469,-0.259,0.610,89.355,140.747,-7.751
0.376,-0.222,0.357,92.834,135.193,-2.197
0.463,-0.229,0.352,94.788,151.001,7.080
0.515,-0.360,0.325,97.107,171.204,19.836
0.550,-0.439,0.322,84.656,172.791,27.466
0.567,-0.422,0.279,70.129,166.199,24.414
0.563,-0.397,0.197,61.707,159.790,18.982
0.564,-0.349,0.182,57.800,158.752,19.714
0.569,-0.303,0.206,55.969,157.043,25.635
0.606,-0.318,0.219,57.678,155.762,31.372
0.629,-0.339,0.221,62.622,154.358,34.973
0.655,-0.342,0.211,64.758,152.344,34.729
0.674,-0.338,0.169,62.378,149.170,32.532
0.681,-0.355,0.114,58.228,145.386,32.471
0.688,-0.390,0.087,57.129,141.357,33.386
0.709,-0.415,0.094,58.716,136.169,31.494
0.787,-0.468,0.102,59.387,129.578,26.184
0.779,-0.422,0.059,57.739,121.216,16.602
0.714,-0.360,-0.009,53.162,115.662,8.545
0.688,-0.335,0.007,48.218,118.347,11.841
0.739,-0.337,0.043,44.250,123.718,18.982
0.772,-0.381,0.026,46.570,126.953,22.217
0.768,-0.403,-0.002,49.927,126.221,23.376
0.775,-0.418,-0.044,52.185,122.314,23.743
0.792,-0.404,-0.076,53.345,115.234,23.437
0.788,-0.400,-0.100,54.382,105.530,23.499
0.792,-0.389,-0.145,55.481,97.229,23.376
0.782,-0.395,-0.214,56.763,91.858,24.353
0.766,-0.352,-0.312,54.810,88.867,26.978
0.815,-0.374,-0.261,47.424,87.830,29.907
0.837,-0.317,-0.319,33.936,86.182,32.532
0.851,-0.340,-0.272,35.522,85.571,30.396
0.855,-0.295,-0.355,31.128,86.243,27.771
0.882,-0.330,-0.345,27.771,85.571,24.353
0.899,-0.349,-0.371,23.499,83.618,21.484
0.895,-0.328,-0.421,23.254,79.468,20.264
0.910,-0.323,-0.414,26.245,72.021,18.250
0.905,-0.298,-0.455,32.104,60.120,15.564
0.888,-0.297,-0.499,38.635,46.143,13.306
0.870,-0.307,-0.546,35.217,32.532,13.062
0.850,-0.325,-0.575,28.931,23.621,12.756
0.855,-0.315,-0.571,22.461,21.484,12.695
0.868,-0.315,-0.535,17.334,22.278,12.024
0.880,-0.293,-0.490,12.939,22.095,10.315
0.906,-0.264,-0.453,9.277,19.775,8.301
0.931,-0.264,-0.413,7.935,14.282,5.493
0.939,-0.284,-0.371,7.080,6.165,1.465
0.926,-0.313,-0.336,7.141,-1.343,-2.380
0.912,-0.332,-0.294,7.202,-6.226,-5.005
0.899,-0.353,-0.260,6.592,-9.399,-6.531
0.883,-0.380,-0.231,5.188,-10.498,-5.920
0.876,-0.388,-0.195,3.235,-10.010,-4.333
0.894,-0.376,-0.142,2.014,-8.118,-3.113
0.912,-0.365,-0.104,1.770,-5.615,-2.380
0.917,-0.373,-0.110,2.319,-3.967,-2.502
0.910,-0.388,-0.135,1.770,-2.747,-2.563
0.912,-0.401,-0.145,0.916,-0.793,-2.747
0.922,-0.404,-0.147,1.038,1.282,-2.930
0.914,-0.405,-0.168,2.136,2.319,-3.174
0.908,-0.393,-0.172,2.686,2.075,-2.991
0.913,-0.402,-0.179,3.296,1.221,-3.052
0.900,-0.411,-0.190,3.784,0.183,-2.502
0.885,-0.410,-0.205,3.113,0.305,-1.343
0.892,-0.386,-0.196,2.502,1.526,0.488
0.914,-0.368,-0.185,2.075,2.563,1.892
0.921,-0.368,-0.189,1.587,1.343,2.197
0.918,-0.375,-0.195,1.526,-0.671,1.709
0.921,-0.366,-0.185,2.563,-1.892,0.732
0.928,-0.361,-0.181,4.211,-2.258,-0.732
0.922,-0.375,-0.198,5.493,-2.441,-2.075
0.901,-0.391,-0.211,5.615,-3.174,-2.808
0.886,-0.397,-0.209,4.883,-3.967,-2.930
0.873,-0.398,-0.211,3.906,-4.028,-1.953
0.872,-0.393,-0.198,2.136,-3.723,0.366

-0.050,-0.028,1.017,-31.372,1.892,22.949
0.013,-0.042,1.048,-22.583,5.981,22.766
0.002,-0.002,1.057,-16.418,5.310,20.996
-0.003,0.055,0.998,-15.564,1.465,13.245
-0.006,0.008,1.012,-12.207,3.540,7.507
-0.006,-0.018,1.091,-8.545,8.972,3.235
-0.018,0.014,1.141,-0.244,16.052,-1.648
-0.025,0.037,1.126,9.216,22.400,-4.456
-0.018,0.041,1.109,15.381,26.794,-6.287
0.014,0.031,1.067,22.034,31.555,-9.277
0.021,0.003,1.036,31.433,38.452,-14.404
0.028,-0.016,0.983,33.203,42.908,-21.484
0.051,-0.035,0.908,27.283,44.434,-27.405
0.071,-0.085,0.905,17.578,45.837,-33.936
0.159,-0.206,0.798,7.935,47.180,-45.105
0.013,-0.091,0.955,-4.700,42.358,-53.833
-0.011,-0.077,0.994,-5.066,45.166,-58.960
-0.064,-0.044,1.056,-8.179,44.617,-57.129
-0.112,0.026,1.136,-11.902,40.710,-50.171
-0.122,0.101,1.209,-12.268,32.837,-39.673
-0.132,0.164,1.246,-6.897,22.888,-26.367
-0.159,0.242,1.245,3.967,13.367,-12.207
-0.112,0.151,1.194,23.865,7.874,0.427
-0.037,-0.003,1.136,41.016,7.385,13.184
